1 0.58 1 0.5 3 5 4 0 0 10000 200 200 0.1 100 150 180 0 0 0 0 0 100 1e+06 20 100 1.256 1.256 0.0002512 0.0002512 1 1
2 1 0.5 2 2 7 3 0 0 10000 200 200 0.1 100 150 180 0 0 0 0 0 -150 -1.5e+06 -30 -150 -1.884 -1.884 -0.0003768 -0.0003768 0 0
3 1.6 1.5 1.3 4 3 5 0 0 10000 200 200 0.1 100 150 180 0 0 0 0 0 125 1.25e+06 25 125 1.57 1.57 0.000314 0.000314 1 1
4 0.4 0.9 1.5 1 6 2 0 0 10000 200 200 0.1 100 150 180 0 0 0 0 0 -75 -750000 -15 -75 -0.942 -0.942 -0.0001884 -0.0001884 0 0
5 0.8 1 1.6 4 2 3 0 0 10000 200 200 0.1 100 150 180 0 0 0 0 0 -50 -500000 -10 -50 -0.628 -0.628 -0.0001256 -0.0001256 0 0
6 1.1 0.7 0.25 1 6 3 0 0 3000 50 20 0.15 50 100 120 0 0 0 0 0 200 600000 10 90 0.7536 0.7536 1.5072e-05 1.5072e-05 1 1
7 0 0.25 1.5 0 5 6 0 0 3000 50 20 0.15 50 100 120 0 0 0 0 0 -300 -900000 -15 -135 -1.1304 -1.1304 -2.2608e-05 -2.2608e-05 0 0
8 1.8 1.12 1 4 2 3 0 0 3000 50 20 0.15 50 100 120 0 0 0 0 0 160 480000 8 72 0.60288 0.60288 1.20576e-05 1.20576e-05 1 1
9 1.5 1 2.5 2 7 4 0 0 3000 50 20 0.15 50 100 120 0 0 0 0 0 -240 -720000 -12 -108 -0.90432 -0.90432 -1.80864e-05 -1.80864e-05 0 0
10 0.16 1.4 2 3 5 2 0 0 3000 50 20 0.15 50 100 120 0 0 0 0 0 -180 -540000 -9 -81 -0.67824 -0.67824 -1.35648e-05 -1.35648e-05 0 0
15 0.9 0.23 1.7 3 4 2 0 0 700 125 80 0.25 150 300 200 0 0 0 0 0 -450 -315000 -56.25 -78.75 -0.39564 -0.39564 -3.16512e-05 -3.16512e-05 0 0
14 1.1 0.29 0.5 3 1 2 0 0 125 80 0.25 0 150 300 200 0 0 0 0 0 1875 234375 150 0 0.294375 0.294375 7.35938e-08 7.35938e-08 1 1
13 0.22 0.3 1.5 5 2 1 0 0 7000 125 80 0.25 150 300 200 0 0 0 0 0 -96 -672000 -12 -168 -0.844032 -0.844032 -6.75226e-05 -6.75226e-05 0 0
12 0.5 0.6 2 6 1 3 0 0 7000 125 80 0.25 150 300 200 0 0 0 0 0 -80 -560000 -10 -140 -0.70336 -0.70336 -5.62688e-05 -5.62688e-05 0 0
11 1.1 0.7 0.38 2 3 4 0 0 7000 125 80 0.25 150 300 200 0 0 0 0 0 160 1.12e+06 20 280 1.40672 1.40672 0.000112538 0.000112538 1 1
16 0.19 0.3 1 1 3 2 0 0 2000 100 150 0.3 200 400 300 0 0 0 0 0 -200 -400000 -20 -120 -0.5024 -0.5024 -7.536e-05 -7.536e-05 0 0
17 0.21 0.5 0.56 6 1 4 0 0 2000 100 150 0.3 200 400 300 0 0 0 0 0 98.5714 197143 9.85714 59.1429 0.247611 0.247611 3.71417e-05 3.71417e-05 1 1
18 0.75 0 0.16 1 2 3 0 0 2000 100 150 0.3 200 400 300 0 0 0 0 0 147.143 294286 14.7143 88.2857 0.369623 0.369623 5.54434e-05 5.54434e-05 1 1
19 0 0.12 0.12 0.5 1 2 0 0 2000 100 150 0.3 200 400 300 0 0 0 0 0 17.8571 35714.3 1.78571 10.7143 0.0448571 0.0448571 6.72857e-06 6.72857e-06 1 1
20 1 0.39 0.6 3 4 1 0 0 100 150 0.3 0 200 400 300 0 0 0 0 0 1180 118000 177 0 0.148208 0.148208 4.44624e-08 4.44624e-08 1 1
21 1 0 0.5 5 0 3 0 0 1000 100 100 0.4 150 100 40 0 0 0 0 0 250 250000 25 100 0.314 0.314 3.14e-05 3.14e-05 1 1
22 0 2.5 1.2 4 2 5 0 0 1000 100 100 0.4 150 100 40 0 0 0 0 0 400 400000 40 160 0.5024 0.5024 5.024e-05 5.024e-05 1 1
23 0.5 1 0.75 1 6 7 0 0 1000 100 100 0.4 150 100 40 0 0 0 0 0 300 300000 30 120 0.3768 0.3768 3.768e-05 3.768e-05 1 1
25 0.1 0.15 5 7 2 6 0 0 1000 100 100 0.4 150 100 40 0 0 0 0 0 -350 -350000 -35 -140 -0.4396 -0.4396 -4.396e-05 -4.396e-05 0 0
24 0.2 0.1 7 10 0 2 0 0 1000 100 100 0.4 150 100 40 0 0 0 0 0 -500 -500000 -50 -200 -0.628 -0.628 -6.28e-05 -6.28e-05 0 0
