1 300 100 100 10 1.6 0 0.96 160 1 0
2 800 50 50 20 0.8 0 1.28 40 1 0
3 400 30 10 100 0.6 0 1.44 18 1 0
4 250 20 5 200 0.4 0 0.8 8 1 0
5 600 15 1 1000 0.2 0 3.6 3 1 0
6 600 75 50 20 2 0 9e-05 150 1 0
7 750 40 20 50 1.5 0 6e-05 60 1 0
8 800 60 10 100 0.75 0 0.000144 45 1 0
9 900 125 5 200 0.6 0 0.001125 75 1 0
10 450 20 2 500 0.45 0 2.7e-05 9 1 0
11 850 100 20 50 2.2 0 0.00440385 220 1 0
12 950 75 10 100 2 0 0.00503381 150 1 0
13 670 200 5 200 1.75 0 0.0441798 350 1 0
14 435 120 3.33333 300 1.5 0 0.0132765 180 1 0
15 740 80 2.5 400 1.25 0 0.0111533 100 1 0
16 600 125 75 13.3333 -355.556 0 4 -0.0444444 1 0
17 750 375 50 20 -320 0 9 -0.12 1 0
18 350 260 35 28.5714 -1020.41 0 6.5 -0.265306 1 0
19 750 320 12 83.3333 -10416.7 0 60 -3.33333 1 0
20 1250 160 5 200 -50000 0 100 -8 1 0
21 500 200 80 12.5 -187.5 -0.4 1.5 -0.0375 1 0
22 800 135 60 16.6667 -555.556 0.2 3.6 -0.075 1 0
23 400 300 25 40 -2000 -0.25 6 -0.6 1 0
24 1350 200 15 66.6667 -2222.22 -1 9 -0.444444 1 0
25 500 320 4 250 -18750 0.2 12 -6 1 0
