2 1 3 3 2 4 0 24 12 0 4 11.6364 8.12121 4.12121 -0.606061 3.39394 0 12.3636 13.5758
3 5 2 7 6 1 0 15 4.5 0 2 2.78986 2.77536 0.150104 -0.135611 1.86439 0 1.05072 1.86439
4 3 1 1 1 6 0 12 30 0 5 6.92308 21.2308 -8.76923 -5.53846 -0.538462 0 -8.76923 -3.23077
1 2 1 5 3 2 0 10 5 0 1 4.89474 5.21053 0.0421053 -0.357895 0.642105 0 0.210526 1.28421
5 2 6 3 7 2 0 4.5 20 0 1 2.6375 3.20417 -0.258333 -0.308333 0.691667 0 -0.775 1.38333
6 4 2 10 3 7 0 5 5 0 6 2.6375 3.20417 -0.258333 -0.308333 0.691667 0 -0.775 1.38333
7 1 7 3 2 1 0 10 12 0 3 2.6375 3.20417 -0.258333 -0.308333 0.691667 0 -0.775 1.38333
8 10 3 7 8 10 0 12 4.5 0 7 2.6375 3.20417 -0.258333 -0.308333 0.691667 0 -0.775 1.38333
9 1 4 1 1 2 0 3 15 0 3 2.6375 3.20417 -0.258333 -0.308333 0.691667 0 -0.775 1.38333
10 12 1 5 4 7 0 15 8 0 0 1.16259 -1.04886 0.0505476 -0.0631845 0.113732 0 1.04886 0.796125
11 2 2 2 5 2.5 0 20 7.5 0 6 4.49275 -5.50725 -0.724638 0.289855 4.98551 0 11.0145 12.4638
12 4 4 8 2 1 0 12 20 0 4 1.71739 -1.28261 0.0869565 -0.347826 4.43478 0 5.13043 4.43478
13 3 3 2 6 3 0 30 13 0 2 5.75 -4.25 1.125 -0.375 3.5 0 12.75 10.5
14 2 8 4 9 6 0 10 3 0 6 -1.16024 -1.54006 -1.86944 0.830861 3.2997 0 12.3205 19.7982
15 5 10 1 1 1 0 7.5 12 0 1 1.05172 -0.224138 0.413793 -0.413793 1.82759 0 2.24138 1.82759
16 6 2 10 5 5 0 5 8 0 2 1.27534 -1.32601 0.601351 1.80068 3.43581 0 -2.65203 -9.00338
17 3 1 5 2 2 0 1.5 3 0 5 1.49351 -2.98052 -0.525974 0.5 4.06494 0 -2.98052 -1
18 5 8 2 1 10 0 12 24 0 1 3.83448 -0.896552 3.73103 14.7448 21.7517 0 -7.17241 -14.7448
19 1 12 7 7 2 0 30 5 0 3 8.05902 1.82842 3.2306 0.371585 5.91585 0 21.941 -2.60109
21 1 1 1 2.5 3 0 5 4 0 15 2.15873 -6.4127 7.8254 2.63492 3.07937 0 6.4127 9.2381
22 2 7 9 1 1 0 6 9 0 2 0.467337 -0.743719 0.346734 -0.603015 2.32663 0 5.20603 2.32663
24 7 10 2.5 2 2 0 4 10 0 1 -0.123552 -0.540541 0.741313 -0.830116 1.62934 0 5.40541 3.25869
25 3 1 2 4 2.5 0 30 10 0 3 6.63677 -10.8969 4.52915 1.74888 -4.01794 0 10.8969 -10.0448
20 3 3 2 3 6 0 24 18 0 7 9.17647 -1.17647 3.35294 3.82353 13.2843 0 -3.52941 -11.4706
23 10 1 1 6 8 0 14 12 0 5 1.07543 -6.16545 5.382 -0.586375 -0.306569 0 6.16545 -2.45255
