1 220 50 40 50 120 37.68 63.6943 28.6865 18.0151 34.7796 0.600935 220 6.32554 238.346 134.921 196.483 85.0792 -196.483 214.112 -1.16216 3.36155 5.35279 0 0
2 380 50 30 60 100 31.4 53.0786 22.7367 12.8508 29.3433 0.684316 380 12.9501 406.634 257.302 314.876 122.698 -314.876 337.938 -1.19923 6.36674 11.2646 0 0
3 127 50 20 70 80 25.12 45.4959 16.761 7.36812 24.4143 0.814101 127 5.20186 130.671 95.0833 89.6327 31.9167 -89.6327 95.1457 -1.22871 2.0913 4.75728 0 0
4 110 400 50 10 15 37.68 39.8089 19.3984 24.3644 23.5288 0.601561 110 4.67513 176.159 99.8092 145.155 10.1908 -145.155 145.513 -1.50071 3.65527 2.91025 0 0
5 200 400 70 8 25 62.8 49.7611 23.4989 33.0564 37.9062 0.902152 200 5.27618 331.344 260.157 205.201 -60.157 -205.201 213.837 1.28562 4.29726 3.05481 0 0
11 220 50 40 60 80 25.12 53.0786 10.5978 32.5275 34.2104 1.25583 220 8.75796 220 66.463 205.201 -60.157 -205.201 220 0.924995 3.31011 3.31011 175.696 132.404
12 380 50 50 80 90 28.26 39.8089 15.1636 31.7625 35.1964 1.12539 380 13.4466 380 63.912 205.201 -60.157 -205.201 380 0.672406 5.94567 5.94567 236.691 297.284
13 127 50 30 80 70 21.98 39.8089 11.9008 29.0526 31.3956 1.18202 127 5.77798 127 49.8473 205.201 -60.157 -205.201 127 0.924995 2.54778 2.54778 101.424 76.4335
14 110 400 40 15 15 37.68 26.5393 32.9394 28.5058 43.5613 0.713368 110 2.91932 110 48.0035 205.201 -60.157 -205.201 110 0.585795 2.2915 2.2915 60.8148 91.66
15 200 400 50 10 25 62.8 39.8089 65.1102 32.8609 72.9327 0.467398 200 3.18471 200 63.912 205.201 -60.157 -205.201 200 0.672406 3.1293 3.1293 124.574 156.465
16 220 50 30 80 80 25.12 39.8089 42.6098 12.0945 44.293 0.27657 200 -0.559479 -14.0541 63.912 205.201 -60.157 -205.201 220 0.672406 5.5264 -0.559479 220 -16.7844
17 380 50 20 120 90 28.26 26.5393 34.9579 -4.51986 35.2489 -0.128581 200 -3.53792 -99.9815 63.912 205.201 -60.157 -205.201 380 0.672406 14.3184 -3.53792 380 -70.7583
18 127 50 25 100 90 28.26 31.8471 39.7512 3.81308 39.9337 0.0956311 200 -0.807526 -22.8207 63.912 205.201 -60.157 -205.201 127 0.672406 3.9878 -0.807526 127 -20.1881
19 110 400 50 10 25 62.8 39.8089 26.1632 -19.6356 32.7119 -0.643824 200 0.599492 37.6481 63.912 205.201 -60.157 -205.201 110 0.672406 2.7632 0.599492 110 29.9746
20 200 400 60 5 30 75.36 79.6178 105.121 5.74052 105.277 0.0545547 200 -0.612254 -46.1395 63.912 205.201 -60.157 -205.201 200 0.672406 2.512 -0.612254 200 -36.7353
21 220 50 50 80 100 31.4 39.8089 50 -297.303 301.479 -1.40418 220 -3.67026 -115.246 63.912 205.201 -60.157 -205.201 220 0.672406 -3.67026 4.4 -146.109 220
22 380 50 30 120 140 43.96 26.5393 30 51.6626 59.7413 1.0447 380 -6.30591 -277.208 63.912 205.201 -60.157 -205.201 380 0.672406 -6.30591 12.6667 -167.354 380
23 127 50 60 90 60 18.84 35.3857 60 -217.579 225.7 -1.30172 127 -1.55397 -29.2769 63.912 205.201 -60.157 -205.201 127 0.672406 -1.55397 2.11667 -54.9885 127
24 110 400 40 15 20 50.24 26.5393 40 67.5085 78.4691 1.0359 110 -1.34817 -67.7323 63.912 205.201 -60.157 -205.201 110 0.672406 -1.34817 2.75 -35.7796 110
25 200 400 70 8 15 37.68 49.7611 70 -405.591 411.587 -1.39989 200 -2.37122 -89.3475 63.912 205.201 -60.157 -205.201 200 0.672406 -2.37122 2.85714 -117.995 200
6 220 50 50 60 100 31.4 53.0786 14.1419 -30.5597 33.6732 -1.13738 220 4.03766 126.783 63.912 205.201 -60.157 -205.201 -126.783 0.672406 6.53338 2.53565 346.783 126.783
7 380 50 40 70 80 25.12 45.4959 11.3135 -27.4808 29.7185 -1.18026 380 8.03106 201.74 63.912 205.201 -60.157 -205.201 -201.74 0.672406 12.7867 5.04351 581.74 201.74
8 127 50 30 80 80 25.12 39.8089 12.3646 -25.0422 27.9284 -1.11216 127 2.15066 54.0245 63.912 205.201 -60.157 -205.201 -54.0245 0.672406 4.54734 1.80082 181.025 54.0245
9 110 400 60 10 30 75.36 39.8089 36.722 -10.5717 38.2134 -0.280305 110 0.0609456 4.59286 63.912 205.201 -60.157 -205.201 -4.59286 0.672406 2.87857 0.0765477 114.593 4.59286
10 200 400 50 6 15 37.68 66.3482 18.1105 -42.3162 46.0288 -1.1664 200 2.34314 88.2897 63.912 205.201 -60.157 -205.201 -88.2897 0.672406 4.3451 1.76579 288.29 88.2897
